HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	Entrez Gene ID	Ensembl Gene ID	RefSeq IDs	Vega ID	OMIM ID(supplied by OMIM)	UniProt ID(supplied by UniProt)
HGNC:34073	C19orf38	chromosome 19 open reading frame 38	Approved		HIDE1	19p13.2		255809	ENSG00000214212	NM_001136482			A8MVS5
HGNC:28424	C19orf43	chromosome 19 open reading frame 43	Approved		MGC2803, fSAP18	19p13.2	AK027588	79002	ENSG00000123144	NM_024038			Q9BQ61
HGNC:26141	C19orf44	chromosome 19 open reading frame 44	Approved		FLJ21742	19p13.11	AK025395	84167	ENSG00000105072	NM_032207			Q9H6X5
HGNC:24745	C19orf45	chromosome 19 open reading frame 45	Approved		FLJ35784	19p13.2	BC029824	374877	ENSG00000198723	NM_198534	OTTHUMG00000157183		Q8NA69
HGNC:26723	C19orf47	chromosome 19 open reading frame 47	Approved		FLJ36888	19q13.2	AL834131	126526	ENSG00000160392	NM_178830	OTTHUMG00000179028		Q8N9M1
HGNC:29667	C19orf48	chromosome 19 open reading frame 48	Approved		MGC13170	19q13.33	BC037227	84798	ENSG00000167747	NM_032712			Q6RUI8
HGNC:25152	C19orf52	chromosome 19 open reading frame 52	Approved			19p13.2	BC011833	90580	ENSG00000142444	NM_138358	OTTHUMG00000180700		Q9BSF4
HGNC:24991	C19orf53	chromosome 19 open reading frame 53	Approved		HSPC023, LYDG10	19p13.2	AF078852	28974	ENSG00000104979	NM_014047			Q9UNZ5
HGNC:24758	C19orf54	chromosome 19 open reading frame 54	Approved		FLJ41131	19q13.2	AK123126	284325	ENSG00000188493	NM_198476	OTTHUMG00000150174		Q5BKX5
HGNC:28153	C19orf57	chromosome 19 open reading frame 57	Approved		MGC11271	19p13.12	BC012945	79173	ENSG00000132016	NM_024323	OTTHUMG00000181851		Q0VDD7
HGNC:26098	C19orf60	chromosome 19 open reading frame 60	Approved		FLJ20850, FLJ30108, FLJ34606, FLJ37391	19p13.11	AK000857	55049	ENSG00000006015	NM_017967			Q96EN9
HGNC:25649	C19orf66	chromosome 19 open reading frame 66	Approved		FLJ11286	19p13.2		55337	ENSG00000130813	NM_018381			Q9NUL5
HGNC:34354	C19orf67	chromosome 19 open reading frame 67	Approved			19p13.12		646457	ENSG00000188032	XM_929382			A6NJJ6
HGNC:34495	C19orf68	chromosome 19 open reading frame 68	Approved		LOC374920	19q13.32	BC043386	374920	ENSG00000185453	XM_001713770			Q86XI8
HGNC:33702	C19orf70	chromosome 19 open reading frame 70	Approved		QIL1, P117	19p13.3	BC009557	125988	ENSG00000174917	NM_205767			Q5XKP0
HGNC:34496	C19orf71	chromosome 19 open reading frame 71	Approved		LOC100128569	19p13.3		100128569	ENSG00000183397	NM_001135580			A6NCJ1
HGNC:25534	C19orf73	chromosome 19 open reading frame 73	Approved		FLJ10490	19q13.33	AK001352	55150	ENSG00000221916	NM_018111	OTTHUMG00000183345		Q9NVV2
HGNC:24933	C19orf80	chromosome 19 open reading frame 80	Approved		TD26, RIFL, ANGPTL8	19p13.2		55908	ENSG00000130173	NM_018687		616223	Q6UXH0
HGNC:40041	C19orf81	chromosome 19 open reading frame 81	Approved			19q13.33		342918	ENSG00000235034	NM_001195076	OTTHUMG00000154593		C9J6K1
HGNC:27112	C19orf84	chromosome 19 open reading frame 84	Approved			19q13.41	BC043532, BC085012	147646	ENSG00000262874	NM_001193623	OTTHUMG00000177322		I3L1E1
HGNC:15870	C20orf24	chromosome 20 open reading frame 24	Approved		PNAS-11, RIP5	20q11.23	AF112213	55969	ENSG00000101084	NM_018840	OTTHUMG00000032384		Q9BUV8
HGNC:15873	C20orf27	chromosome 20 open reading frame 27	Approved		FLJ20550	20p13	AK000557	54976	ENSG00000101220	NM_001039140	OTTHUMG00000031753		Q9GZN8
HGNC:16216	C20orf85	chromosome 20 open reading frame 85	Approved		bA196N14.1, LLC1	20q13.32	AL354776	128602	ENSG00000124237	NM_178456	OTTHUMG00000032836		Q9H1P6
HGNC:16227	C20orf96	chromosome 20 open reading frame 96	Approved		dJ1103G7.2	20p13	AL034548	140680	ENSG00000196476	NM_153269	OTTHUMG00000031626		Q9NUD7
HGNC:16134	C20orf141	chromosome 20 open reading frame 141	Approved		dJ860F19.4	20p13		128653	ENSG00000258713	NM_080739	OTTHUMG00000031707		Q9NUB4
HGNC:16137	C20orf144	chromosome 20 open reading frame 144	Approved		dJ63M2.6, bclt	20q11.22	AL121906	128864	ENSG00000149609	NM_080825	OTTHUMG00000032263		Q9BQM9
HGNC:16166	C20orf173	chromosome 20 open reading frame 173	Approved		dJ477O4.4	20q11.22	AL121586	140873	ENSG00000125975	NM_001145350	OTTHUMG00000032340		Q96LM9
HGNC:17721	C20orf194	chromosome 20 open reading frame 194	Approved		DKFZp434N061	20p13	AL110249	25943	ENSG00000088854	NM_001009984	OTTHUMG00000031742	614146	Q5TEA3
HGNC:28764	C20orf195	chromosome 20 open reading frame 195	Approved		MGC5356	20q13.33		79025	ENSG00000125531	NM_024059	OTTHUMG00000032980		Q9BVV2
HGNC:26318	C20orf196	chromosome 20 open reading frame 196	Approved		FLJ25067	20p12.3	AK057796	149840	ENSG00000171984	NM_152504	OTTHUMG00000031813		Q8IYI0
HGNC:37254	C20orf202	chromosome 20 open reading frame 202	Approved			20p13		400831	ENSG00000215595	NM_001009612	OTTHUMG00000129375		A1L168
HGNC:26592	C20orf203	chromosome 20 open reading frame 203	Approved		FLJ33706	20q11.21	AK091025	284805	ENSG00000198547	NM_182584	OTTHUMG00000032224		Q8NBC4
HGNC:1260	C21orf2	chromosome 21 open reading frame 2	Approved		YF5, A2, LRRC76	21q22.3	Y11392	755	ENSG00000160226	NM_004928	OTTHUMG00000086909	603191	O43822
HGNC:1273	C21orf33	chromosome 21 open reading frame 33	Approved		KNP-Ia, GT335, ES1, HES1, D21S2048E, KNPI, KNPH, KNP-I	21q22.3	Y07572	8209	ENSG00000160221	NM_004649	OTTHUMG00000086916	601659	P30042
HGNC:1300	C21orf58	chromosome 21 open reading frame 58	Approved			21q22.3		54058	ENSG00000160298	NM_058180	OTTHUMG00000090634		P58505
HGNC:1301	C21orf59	chromosome 21 open reading frame 59	Approved	C21orf48	FLJ20467, FBB18, CILD26	21q22.11	AF282851	56683	ENSG00000159079	NM_021254	OTTHUMG00000179510	615494	P57076
HGNC:1305	C21orf62	chromosome 21 open reading frame 62	Approved	C21orf120	B37, PRED81	21q22.1	AF231922	56245	ENSG00000205929	NM_019596	OTTHUMG00000163477		Q9NYP8
HGNC:16459	C21orf91	chromosome 21 open reading frame 91	Approved	C21orf38, C21orf14	YG81, EURL, CSSG1	21q21.1	AF239726	54149	ENSG00000154642	NM_017447	OTTHUMG00000074509		Q9NYK6
HGNC:39602	C21orf140	chromosome 21 open reading frame 140	Approved			21q22.11		101928147	ENSG00000222018		OTTHUMG00000154291		B9A014
HGNC:15558	C22orf15	chromosome 22 open reading frame 15	Approved		FLJ36561, N27C7-3	22q11.23	AB050773	150248	ENSG00000169314	NM_182520	OTTHUMG00000150740		Q8WYQ4
HGNC:18589	C22orf23	chromosome 22 open reading frame 23	Approved		FLJ32787, EVG1, LOC84645	22q13.1	AF324466	84645	ENSG00000128346	NM_032561	OTTHUMG00000150672		Q9BZE7
HGNC:26112	C22orf29	chromosome 22 open reading frame 29	Approved		FLJ21125	22q11.21	BX640998	79680	ENSG00000215012	NM_024627	OTTHUMG00000030314		Q7L3V2
HGNC:26931	C22orf31	chromosome 22 open reading frame 31	Approved		HS747E2A, bK747E2.1	22q12.1	AL035364	25770	ENSG00000100249	NM_015370	OTTHUMG00000151011		O95567
HGNC:27012	C22orf39	chromosome 22 open reading frame 39	Approved		MGC74441	22q11.21		128977	ENSG00000242259	NM_173793	OTTHUMG00000150137		Q6P5X5
HGNC:27160	C22orf42	chromosome 22 open reading frame 42	Approved			22q12.3	BC040263	150297	ENSG00000205856	NM_001010859	OTTHUMG00000030380		Q6IC83
HGNC:26294	C22orf46	chromosome 22 open reading frame 46	Approved		FLJ23584, CTA-216E10.6	22q13.2	BC007210	79640	ENSG00000184208	NM_024588	OTTHUMG00000151188		C9J442
HGNC:1368	CA1	carbonic anhydrase I	Approved		Car1	8q21.2	M33987	759	ENSG00000133742	NM_001738	OTTHUMG00000164941	114800	P00915
HGNC:1373	CA2	carbonic anhydrase II	Approved		Car2, CA-II, CAII	8q21.2	J03037	760	ENSG00000104267	NM_000067	OTTHUMG00000164944	611492	P00918
HGNC:1374	CA3	carbonic anhydrase III	Approved		Car3, CAIII	8q21.2	AJ006473	761	ENSG00000164879	NM_005181	OTTHUMG00000164942	114750	P07451
HGNC:1375	CA4	carbonic anhydrase IV	Approved	RP17	CAIV, Car4	17q23.1	L10955	762	ENSG00000167434	NM_000717	OTTHUMG00000179987	114760	P22748
HGNC:1377	CA5A	carbonic anhydrase VA, mitochondrial	Approved	CA5	CAV, CAVA	16q24.2	L19297	763	ENSG00000174990	NM_001739	OTTHUMG00000137677	114761	P35218
HGNC:1378	CA5B	carbonic anhydrase VB, mitochondrial	Approved			Xp22.1	AB021660	11238	ENSG00000169239	NM_007220	OTTHUMG00000021183	300230	Q9Y2D0
HGNC:1380	CA6	carbonic anhydrase VI	Approved			1p36.2	M57892	765	ENSG00000131686		OTTHUMG00000001763	114780	P23280
HGNC:1381	CA7	carbonic anhydrase VII	Approved			16q22.1		766	ENSG00000168748		OTTHUMG00000137524	114770	P43166
HGNC:1382	CA8	carbonic anhydrase VIII	Approved	CALS	CARP	8q12.1	L04656	767	ENSG00000178538		OTTHUMG00000165325	114815	P35219
HGNC:1383	CA9	carbonic anhydrase IX	Approved		MN, CAIX	9p13.3	X66839	768	ENSG00000107159	NM_001216	OTTHUMG00000021029	603179	Q16790
HGNC:1369	CA10	carbonic anhydrase X	Approved		CARPX, CA-RPX, HUCEP-15	17q21	AF288385	56934	ENSG00000154975	NM_020178	OTTHUMG00000177544	604642	Q9NS85
HGNC:1370	CA11	carbonic anhydrase XI	Approved		CARP2, CARPX1	19q13.33	AF067662	770	ENSG00000063180	NM_001217	OTTHUMG00000183320	604644	O75493
HGNC:1371	CA12	carbonic anhydrase XII	Approved		HsT18816	15q22	AF051882	771	ENSG00000074410	NM_001218	OTTHUMG00000132881	603263	O43570
HGNC:14914	CA13	carbonic anhydrase XIII	Approved		CAXIII, FLJ37995, MGC59868	8q21.2	BC052602	377677	ENSG00000185015	NM_198584	OTTHUMG00000164940	611436	Q8N1Q1
HGNC:1372	CA14	carbonic anhydrase XIV	Approved			1q21	AB025904	23632	ENSG00000118298	NM_012113	OTTHUMG00000012549	604832	Q9ULX7
HGNC:25834	CAAP1	caspase activity and apoptosis inhibitor 1	Approved	C9orf82	FLJ13657, CAAP	9p21.2	BC014658	79886	ENSG00000120159	NM_024828	OTTHUMG00000019706		Q9H8G2
HGNC:20292	CAB39	calcium binding protein 39	Approved		CGI-66, MO25	2q37.1	AF113536	51719	ENSG00000135932	NM_016289	OTTHUMG00000133220	612174	Q9Y376
HGNC:20290	CAB39L	calcium binding protein 39-like	Approved		bA103J18.3, FLJ12577, MO2L	13q14.11	AK022639	81617	ENSG00000102547	NM_030925	OTTHUMG00000016914	612175	Q9H9S4
HGNC:24187	CABIN1	calcineurin binding protein 1	Approved		KIAA0330, PPP3IN	22q11.23	AF072441	23523	ENSG00000099991	NM_012295	OTTHUMG00000150797	604251	Q9Y6J0
HGNC:25097	CABLES1	Cdk5 and Abl enzyme substrate 1	Approved		HsT2563, FLJ35924	18q11.2	BC037218	91768		NM_138375		609194	Q8TDN4
HGNC:16143	CABLES2	Cdk5 and Abl enzyme substrate 2	Approved	C20orf150	dJ908M14.2, ik3-2	20q13.33	BC003122	81928	ENSG00000149679	XM_037265	OTTHUMG00000032912		Q9BTV7
HGNC:1384	CABP1	calcium binding protein 1	Approved			12q24.31	AF169148	9478	ENSG00000157782	NM_001033677	OTTHUMG00000156794	605563	Q9NZU7
HGNC:1385	CABP2	calcium binding protein 2	Approved			11q13.1	AF169154	51475	ENSG00000167791		OTTHUMG00000168014	607314	Q9NPB3
HGNC:1386	CABP4	calcium binding protein 4	Approved		CSNB2B	11q13.2	AC005849	57010	ENSG00000175544		OTTHUMG00000168033	608965	P57796
HGNC:13714	CABP5	calcium binding protein 5	Approved	CABP3	CaBP3	19q13.33	AF169159	56344	ENSG00000105507	NM_019855	OTTHUMG00000183139	607315	Q9NP86
HGNC:20834	CABP7	calcium binding protein 7	Approved		MGC57793	22q12.2	BC051805	164633	ENSG00000100314	NM_182527	OTTHUMG00000151282		Q86V35
HGNC:30710	CABS1	calcium-binding protein, spermatid-specific 1	Approved	C4orf35	NYD-SP26, FLJ32897, CLPH	4q13.3	AF380838	85438	ENSG00000145309	NM_033122	OTTHUMG00000129405		Q96KC9
HGNC:15569	CABYR	calcium binding tyrosine-(Y)-phosphorylation regulated	Approved		FSP-2, CBP86, CT88	18q11.2	AF088868	26256	ENSG00000154040	NM_153770	OTTHUMG00000037365	612135	O75952
HGNC:1365	CACFD1	calcium channel flower domain containing 1	Approved	C9orf7	D9S2135, flower	9q34		11094	ENSG00000160325	NM_017586	OTTHUMG00000020875	613104	Q9UGQ2
HGNC:29314	CACHD1	cache domain containing 1	Approved	VWCD1	KIAA1573	1p31.3	AB046793	57685	ENSG00000158966	NM_020925	OTTHUMG00000009030		Q5VU97
HGNC:1388	CACNA1A	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	Approved	CACNL1A4, SCA6, MHP1, MHP	Cav2.1, EA2, APCA, HPCA, FHM	19p13	U79666	773	ENSG00000141837	NM_000068	OTTHUMG00000044590	601011	O00555
HGNC:1389	CACNA1B	calcium channel, voltage-dependent, N type, alpha 1B subunit	Approved	CACNL1A5	Cav2.2, CACNN	9q34	AB209467	774	ENSG00000148408	NM_000718	OTTHUMG00000021002	601012	Q00975
HGNC:1390	CACNA1C	calcium channel, voltage-dependent, L type, alpha 1C subunit	Approved	CCHL1A1, CACNL1A1	Cav1.2, CACH2, CACN2, TS, LQT8	12p13.3	AF070589	775	ENSG00000151067	NM_000719	OTTHUMG00000150243	114205	Q13936
HGNC:1391	CACNA1D	calcium channel, voltage-dependent, L type, alpha 1D subunit	Approved	CCHL1A2, CACNL1A2	Cav1.3, CACH3, CACN4	3p14.3	AB209171	776	ENSG00000157388	NM_000720	OTTHUMG00000158278	114206	Q01668
HGNC:1392	CACNA1E	calcium channel, voltage-dependent, R type, alpha 1E subunit	Approved	CACNL1A6	Cav2.3, BII, CACH6	1q25.3	AK096563	777	ENSG00000198216	NM_000721	OTTHUMG00000037301	601013	Q15878
HGNC:1393	CACNA1F	calcium channel, voltage-dependent, L type, alpha 1F subunit	Approved	CSNB2, AIED	Cav1.4, JM8, JMC8, CSNBX2, CORDX3, CSNB2A, OA2	Xp11.23	AA019975	778	ENSG00000102001	NM_005183	OTTHUMG00000022703	300110	O60840
HGNC:1394	CACNA1G	calcium channel, voltage-dependent, T type, alpha 1G subunit	Approved		Cav3.1, NBR13	17q22	AC004590	8913	ENSG00000006283	NM_018896	OTTHUMG00000162180	604065	O43497
HGNC:1395	CACNA1H	calcium channel, voltage-dependent, T type, alpha 1H subunit	Approved		Cav3.2	16p13.3	AL031703	8912		NM_001005407		607904	O95180
HGNC:1396	CACNA1I	calcium channel, voltage-dependent, T type, alpha 1I subunit	Approved		Cav3.3	22q13.1	AF129133	8911	ENSG00000100346	NM_001003406	OTTHUMG00000151096	608230	Q9P0X4
HGNC:1397	CACNA1S	calcium channel, voltage-dependent, L type, alpha 1S subunit	Approved	HOKPP, MHS5, CACNL1A3	Cav1.1, hypoPP	1q32	L33798	779	ENSG00000081248	NM_000069	OTTHUMG00000035784	114208	Q13698
HGNC:1399	CACNA2D1	calcium channel, voltage-dependent, alpha 2/delta subunit 1	Approved	CACNL2A, CACNA2, MHS3, LINC01112	lncRNA-N3	7q21-q22	M76559	781	ENSG00000153956		OTTHUMG00000023622	114204	P54289
HGNC:1400	CACNA2D2	calcium channel, voltage-dependent, alpha 2/delta subunit 2	Approved		KIAA0558	3p21.3	AF040709	9254	ENSG00000007402	NM_006030	OTTHUMG00000156887	607082	Q9NY47
HGNC:15460	CACNA2D3	calcium channel, voltage-dependent, alpha 2/delta subunit 3	Approved		HSA272268	3p21.1	AJ272268	55799	ENSG00000157445		OTTHUMG00000158580	606399	Q8IZS8
HGNC:20202	CACNA2D4	calcium channel, voltage-dependent, alpha 2/delta subunit 4	Approved			12p13.33	AF516695	93589	ENSG00000151062		OTTHUMG00000168111	608171	Q7Z3S7
HGNC:1401	CACNB1	calcium channel, voltage-dependent, beta 1 subunit	Approved	CACNLB1		17q21-q22		782	ENSG00000067191		OTTHUMG00000133217	114207	Q02641
HGNC:1402	CACNB2	calcium channel, voltage-dependent, beta 2 subunit	Approved	MYSB, CACNLB2		10p12	U95019	783	ENSG00000165995	NM_000724	OTTHUMG00000017764	600003	Q08289
HGNC:1403	CACNB3	calcium channel, voltage-dependent, beta 3 subunit	Approved	CACNLB3		12q13		784				601958	P54284
HGNC:1404	CACNB4	calcium channel, voltage-dependent, beta 4 subunit	Approved		EJM4	2q22-q23	AF038852	785	ENSG00000182389	NM_000726.3	OTTHUMG00000155091	601949	O00305
HGNC:1405	CACNG1	calcium channel, voltage-dependent, gamma subunit 1	Approved	CACNLG		17q24	L07738	786				114209	Q06432
HGNC:1406	CACNG2	calcium channel, voltage-dependent, gamma subunit 2	Approved		stargazin, MGC138502, MGC138504	22q13.1	AF096322	10369	ENSG00000166862		OTTHUMG00000030612	602911	Q9Y698
HGNC:1407	CACNG3	calcium channel, voltage-dependent, gamma subunit 3	Approved			16p12.1	AF131911	10368	ENSG00000006116	NM_006539	OTTHUMG00000131651	606403	O60359
HGNC:1408	CACNG4	calcium channel, voltage-dependent, gamma subunit 4	Approved		MGC11138, MGC24983	17q24	AH008289	27092		NM_014405		606404	Q9UBN1
HGNC:1409	CACNG5	calcium channel, voltage-dependent, gamma subunit 5	Approved			17q24	AF148220	27091		NM_014404, NM_145811		606405	Q9UF02
HGNC:13625	CACNG6	calcium channel, voltage-dependent, gamma subunit 6	Approved			19q13.4	AF288386		ENSG00000130433		OTTHUMG00000064907	606898	Q9BXT2
HGNC:13626	CACNG7	calcium channel, voltage-dependent, gamma subunit 7	Approved			19q13.4	AF288387	59284	ENSG00000105605		OTTHUMG00000064852	606899	P62955
HGNC:13628	CACNG8	calcium channel, voltage-dependent, gamma subunit 8	Approved			19q13.4	AF288388	59283	ENSG00000142408		OTTHUMG00000064908	606900	Q8WXS5
HGNC:29938	CACTIN	cactin, spliceosome C complex subunit	Approved	C19orf29	NY-REN-24, fSAPc, cactin	19p13.3	BC019848	58509	ENSG00000105298				Q8WUQ7
HGNC:23727	CACUL1	CDK2-associated, cullin domain 1	Approved	C10orf46	FLJ40409, MGC33215, CAC1	10q26.13	AK097728	143384	ENSG00000151893	NM_153810	OTTHUMG00000019138		Q86Y37
HGNC:30423	CACYBP	calcyclin binding protein	Approved		SIP, S100A6BP	1q24-q25	BC022352	27101	ENSG00000116161	NM_014412	OTTHUMG00000034941	606186	Q9HB71
HGNC:1424	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	Approved			2p22-p21	D78586	790	ENSG00000084774		OTTHUMG00000097070	114010	P27708
HGNC:5951	CADM1	cell adhesion molecule 1	Approved	TSLC1, IGSF4	NECL2, ST17, BL2, SYNCAM, IGSF4A, Necl-2, SYNCAM1, RA175	11q23.2	AB017563	23705	ENSG00000182985	NM_014333	OTTHUMG00000168202	605686	Q9BY67
HGNC:29849	CADM2	cell adhesion molecule 2	Approved	IGSF4D	NECL3, Necl-3, SynCAM2	3p12.2	AF538973	253559	ENSG00000175161	NM_153184	OTTHUMG00000158990	609938	Q8N3J6
HGNC:17601	CADM3	cell adhesion molecule 3	Approved	IGSF4B	BIgR, FLJ10698, TSLL1, NECL1, SynCAM3, Necl-1	1q21.2-q22	AY046418	57863	ENSG00000162706	NM_021189	OTTHUMG00000037177	609743	Q8N126
HGNC:30825	CADM4	cell adhesion molecule 4	Approved	IGSF4C	TSLL2, Necl-4, SynCAM4	19q13.32	AF363368	199731		NM_145296		609744	Q8NFZ8
HGNC:1426	CADPS	Ca++-dependent secretion activator	Approved		CAPS, KIAA1121, CAPS1	3p21.1	U36448	8618	ENSG00000163618	NM_003716, NM_183393, NM_183394	OTTHUMG00000158651	604667	Q9ULU8
HGNC:16018	CADPS2	Ca++-dependent secretion activator 2	Approved			7q31.32		93664	ENSG00000081803	NM_017954	OTTHUMG00000157093	609978	Q86UW7
HGNC:21622	CAGE1	cancer antigen 1	Approved	CTAG3	bA69L16.7, CT95	6p24.3	BC026194	285782	ENSG00000164304	NM_175745	OTTHUMG00000014200	608304	Q8TC20
HGNC:1434	CALB1	calbindin 1, 28kDa	Approved	CALB		8q21.3		793	ENSG00000104327	NM_004929	OTTHUMG00000134314	114050	P05937
HGNC:1435	CALB2	calbindin 2	Approved		CAL2	16q22.2	X56667	794	ENSG00000172137	NM_001740	OTTHUMG00000137589	114051	P22676
HGNC:1437	CALCA	calcitonin-related polypeptide alpha	Approved	CALC1		11p15.2	X00356, M64486	796	ENSG00000110680	NM_001741	OTTHUMG00000159731	114130	P01258
HGNC:1438	CALCB	calcitonin-related polypeptide beta	Approved	CALC2	FLJ30166, CGRP-II	11p14.2-p12		797		NM_000728		114160	P10092
HGNC:29306	CALCOCO1	calcium binding and coiled-coil domain 1	Approved		KIAA1536, calphoglin, Cocoa	12q13.13	AL136895	57658	ENSG00000012822	NM_020898	OTTHUMG00000170095		Q9P1Z2
HGNC:29912	CALCOCO2	calcium binding and coiled-coil domain 2	Approved		MGC17318, NDP52	17q21.32	BC004130	10241		NM_005831		604587	Q13137
HGNC:1440	CALCR	calcitonin receptor	Approved		CTR	7q21.3	L00587	799	ENSG00000004948	NM_001742	OTTHUMG00000023599	114131	P30988
HGNC:16709	CALCRL	calcitonin receptor-like	Approved		CGRPR, CRLR	2q21.1-q21.3	U17473	10203	ENSG00000064989	NM_005795	OTTHUMG00000132636	114190	Q16602
HGNC:1441	CALD1	caldesmon 1	Approved		CDM, H-CAD, L-CAD	7q33	M64110	800	ENSG00000122786	NM_033138	OTTHUMG00000155407	114213	Q05682
HGNC:23494	CALHM1	calcium homeostasis modulator 1	Approved	FAM26C		10q24.33	BC036208	255022	ENSG00000185933	NM_001001412	OTTHUMG00000018991	612234	Q8IU99
HGNC:23493	CALHM2	calcium homeostasis modulator 2	Approved	FAM26B		10q24.33	BC000039	51063	ENSG00000138172	NM_015916	OTTHUMG00000018990	612235	Q9HA72
HGNC:23458	CALHM3	calcium homeostasis modulator 3	Approved	FAM26A	bA225H22.7	10q24.33	BC043367	119395	ENSG00000183128	NM_182494	OTTHUMG00000018989		Q86XJ0
HGNC:1442	CALM1	calmodulin 1 (phosphorylase kinase, delta)	Approved	CALML2	CAMI, PHKD, DD132	14q32.11		801	ENSG00000198668		OTTHUMG00000171044	114180	P62158
HGNC:1445	CALM2	calmodulin 2 (phosphorylase kinase, delta)	Approved		PHKD, CAMII	2p21.3-p21.1		805	ENSG00000143933	NM_001743	OTTHUMG00000128850	114182	P62158
HGNC:1449	CALM3	calmodulin 3 (phosphorylase kinase, delta)	Approved		PHKD	19q13.2-q13.3		808	ENSG00000160014		OTTHUMG00000133517	114183	P62158
HGNC:1452	CALML3	calmodulin-like 3	Approved		CLP	10p15.1	X13461	810	ENSG00000178363	NM_005185	OTTHUMG00000017597	114184	P27482
HGNC:18445	CALML4	calmodulin-like 4	Approved		MGC4809, NY-BR-20	15q22.31	AF308287	91860	ENSG00000129007	NM_033429	OTTHUMG00000133287		Q96GE6
HGNC:18180	CALML5	calmodulin-like 5	Approved		CLSP	10p15.1	AF172852	51806	ENSG00000178372	NM_017422	OTTHUMG00000017598	605183	Q9NZT1
HGNC:24193	CALML6	calmodulin-like 6	Approved		CAGLP	1p36.33	AF490905	163688	ENSG00000169885	NM_138705	OTTHUMG00000000943	610171	Q8TD86
HGNC:13248	CALN1	calneuron 1	Approved			7q11	AF282250	83698	ENSG00000183166	NM_031468	OTTHUMG00000023787	607176	Q9BXU9
HGNC:1455	CALR	calreticulin	Approved		RO, SSA, cC1qR, CRT, FLJ26680	19p13.3-p13.2	M84739	811		NM_004343		109091	P27797
HGNC:20407	CALR3	calreticulin 3	Approved		CRT2, FLJ25355, MGC26577, CT93	19p13.11	AK058084	125972		NM_145046		611414	Q96L12
HGNC:1458	CALU	calumenin	Approved			7q32	AF013759	813	ENSG00000128595	NM_001219	OTTHUMG00000158274	603420	O43852
HGNC:17938	CALY	calcyon neuron-specific vesicular protein	Approved	DRD1IP	CALCYON, NSG3	10q26.3	AF225903	50632	ENSG00000130643	NM_015722	OTTHUMG00000019310	604647	Q9NYX4
HGNC:1459	CAMK1	calcium/calmodulin-dependent protein kinase I	Approved		CaMKI	3p25.3	L41816	8536	ENSG00000134072	NM_003656	OTTHUMG00000128419	604998	Q14012
HGNC:19341	CAMK1D	calcium/calmodulin-dependent protein kinase ID	Approved		CKLiK	10p13	AF286366	57118	ENSG00000183049	NM_020397	OTTHUMG00000017683	607957	Q8IU85
HGNC:14585	CAMK1G	calcium/calmodulin-dependent protein kinase IG	Approved		VWS1, CLICKIII, dJ272L16.1	1q32.2		57172	ENSG00000008118	NM_020439	OTTHUMG00000036361	614994	Q96NX5
HGNC:1460	CAMK2A	calcium/calmodulin-dependent protein kinase II alpha	Approved	CAMKA	KIAA0968, CaMKIINalpha	5q32	AB023185	815	ENSG00000070808	NM_015981	OTTHUMG00000134281	114078	Q9UQM7
HGNC:1461	CAMK2B	calcium/calmodulin-dependent protein kinase II beta	Approved	CAMKB	CAM2, CAMK2	7p14.3-p14.1	U50358	816	ENSG00000058404	NM_172084	OTTHUMG00000023491	607707	Q13554
HGNC:1462	CAMK2D	calcium/calmodulin-dependent protein kinase II delta	Approved	CAMKD		4q26	U50361	817	ENSG00000145349		OTTHUMG00000132910	607708	Q13557
HGNC:1463	CAMK2G	calcium/calmodulin-dependent protein kinase II gamma	Approved	CAMKG		10q22	U81554	818	ENSG00000148660	NM_172169	OTTHUMG00000018492	602123	Q13555
HGNC:24190	CAMK2N1	calcium/calmodulin-dependent protein kinase II inhibitor 1	Approved		CaMKIINalpha	1p36.12	AY204901	55450	ENSG00000162545	NM_018584	OTTHUMG00000002837	614986	Q7Z7J9
HGNC:24197	CAMK2N2	calcium/calmodulin-dependent protein kinase II inhibitor 2	Approved		CaM-KIIN	3q27.1	AY037149	94032	ENSG00000163888	NM_033259	OTTHUMG00000156821	608721	Q96S95
HGNC:1464	CAMK4	calcium/calmodulin-dependent protein kinase IV	Approved		CaMK-GR	5q22.1	D30742	814	ENSG00000152495	NM_001744	OTTHUMG00000128792	114080	Q16566
HGNC:1469	CAMKK1	calcium/calmodulin-dependent protein kinase kinase 1, alpha	Approved		DKFZp761M0423, CAMKKA, MGC34095	17p13.3	AL136576	84254	ENSG00000004660	NM_032294, NM_172206, NM_172207	OTTHUMG00000090725	611411	Q8N5S9
HGNC:1470	CAMKK2	calcium/calmodulin-dependent protein kinase kinase 2, beta	Approved		CAMKK, KIAA0787, CAMKKB, MGC15254	12q24.2	AF101264	10645		NM_172226		615002	Q96RR4
HGNC:26276	CAMKMT	calmodulin-lysine N-methyltransferase	Approved	C2orf34	CLNMT	2p21		79823	ENSG00000143919	NM_024766	OTTHUMG00000128761	609559	Q7Z624
HGNC:28788	CAMKV	CaM kinase-like vesicle-associated	Approved		MGC8407, VACAMKL	3p21.31	BC017363	79012	ENSG00000164076	NM_024046	OTTHUMG00000158288	614993	Q8NCB2
